Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer,Kurzbeschreibung
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,lebensmittel,essen,nehmen,2 werktags,wöchentlich,10:00,11:00,St.-Josef-Straße 82. 39130 Magdeburg,52.1527153/11.5822904,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,
DRK-Suppenküche,lebensmittel,essen,nehmen,2 werktags,wöchentlich,08:00,14:00,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/waermestuben.html,,,03.12.2025,,,,
Rot-Kreuz-Shop (Spenden-Annahme),lebensmittel,schenken,geben,2 werktags,wöchentlich,09:00,17:00,Breiter Weg 19 a. 39104 Magdeburg,52.129207/11.635916,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderlaeden.html,,,03.12.2025,,b.goehring@drk-mdjl.de,,
Foodsharing-Kühlschrank,lebensmittel,retten,geben; nehmen,4 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,51 Montag,wöchentlich,15:00,open end,Johannes-R.-Becher-Straße 8. 39218 Schönebeck,52.019796/11.725869,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,51 Montag,wöchentlich,12:30,open end,Max-Josef-Metzger-Straße 1. 39104 Magdeburg,52.1257576/11.6308883,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,essen,nehmen,52 Dienstag,wöchentlich,14:00,14:30,"Kulturzentrum Feuerwache Süd, Halberstädter Straße 140. 39112 Magdeburg",52.109848/11.598548,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,
KüfA (Küche für Alle),lebensmittel,essen,nehmen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,52 Dienstag,wöchentlich,12:30,open end,"Kranichhaus, Schrotebogen 12. 39126 Magdeburg",52.171178/11.635345,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
KüfA: Kiezkantine (Küche für Alle),lebensmittel,essen,nehmen,53 Mittwoch,jeden 2. & 4. im Monat,17:00,19:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,kontakt@mitmischen-md.de,,
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,essen,nehmen,53 Mittwoch,wöchentlich,14:00,14:30,"Adalbert-Kirche, Neptunweg 13. 39118 Magdeburg",52.086849/11.608590,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,53 Mittwoch,wöchentlich,12:30,open end,"Kirche.MittenDrin, Arndtstraße 56. 39108 Magdeburg",52.129928/11.611790,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,53 Mittwoch,wöchentlich,16:30,open end,"„Paula“ (Laden des AllesRetter Magdeburg e. V.), Berliner Chaussee 43. 39114 Magdeburg",52.1295907/11.6699899,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
Tafel-Station: mobile Lebensmittel-Ausgabe,lebensmittel,essen,nehmen,54 Donnerstag,wöchentlich,14:00,14:30,"Jugendclub „Oase“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.168699/11.635900,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,info@aqb-md.de,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,54 Donnerstag,wöchentlich,12:30,open end,"Pauluskirche, Goethestraße 25. 39108 Magdeburg",52.132769/11.608059,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
KüfA: KochFreiTag (Küche für Alle),lebensmittel,essen,nehmen,55 Freitag,jeden 1. & 3. im Monat,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM,https://thiembuktu.de/koch-frei-tag/,Yes,inaktiv,25.09.2025,,info@thiembuktu.de,,
Buckauer KüfA (Küche für Alle),lebensmittel,essen,nehmen,55 Freitag,wöchentlich,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM & KlinkA,https://kollekthiem.de/aktuelles/,,,03.12.2025,,info@thiembuktu.de,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,55 Freitag,wöchentlich,12:30,open end,"ASZ Olvenstedt, Bruno-Beye-Ring 3. 39130 Magdeburg",52.147222/11.580102,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
KüfA (Küche für Alle),lebensmittel,essen,nehmen,56 Samstag,wöchentlich,16:00,20:00,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/kufa/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,
Lebensmittelverteilung,lebensmittel,retten,nehmen,56 Samstag,wöchentlich,12:30,open end,"Kulturzentrum „Guck Mal!“, Babelsberger Straße 9. 39114 Magdeburg",52.115745/11.663098,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,allesretter-magdeburg@outlook.com,,
Bücherschrank Thiemstraße,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,"Platz zwischen Thiemstraße und Köthener Straße, Thiemstraße 5. 39104 Magdeburg",52.1063155/11.6391302,Literaturhaus Magdeburg,https://magdebuch.de/,,,03.12.2025,,info@freiwilligenagentur-magdeburg.de,,
Bücherschrank,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Johannes-Schlaf-Straße 10. 39110 Magdeburg,52.1308194/11.5808246,Uncrowd,https://uncrowd-home.org/,,,03.12.2025,,kontakt@uncrowd-home.org,,
Büchertausch-Telefonzelle,ressourcen,medien,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Breitscheidstraße 2. 39114 Magdeburg,52.1409233/11.6734589,"Campus Herrenkrug, Garten der Hochschulbibliothek",https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,,,
Leih-Fahrzeuge (Auto bis Transporter),ressourcen,mobilitaet,leihen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,teilAuto,https://teilauto.net/,,,03.12.2025,,kontakt@teilauto.net,,
Verschenkeregal,ressourcen,schenken,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM,https://kollekthiem.de/aktuelles/,No,,21.11.2021,,info@thiembuktu.de,,
Verschenkeregal,ressourcen,schenken,geben; nehmen,1 alle Tage,immer (draußen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,No,,23.11.2022,,liz-md@riseup.net,,
Raum,ressourcen,raum,leihen,1 alle Tage,immer (drinnen),00:00,23:59,Johannes-Schlaf-Straße 10. 39110 Magdeburg,52.1308194/11.5808246,Uncrowd,https://www.uncrowd-home.org/veranstaltungsraum/,,,20.1.2026,,kontakt@uncrowd-home.org,,
Verschenkeregal,ressourcen,schenken,geben; nehmen,1 alle Tage,immer (drinnen),00:00,23:59,Walther-Rathenau-Straße 19. 39106 Magdeburg,52.1387286/11.6482829,IKUS im InterKultiTreff,https://www.studentenwerk-magdeburg.de/kultur/interkultitreff/,,,03.12.2025,,ikus@ovgu.de,,
Verschenkeregal/-ecke,ressourcen,schenken,geben; nehmen,1 alle Tage,Ladenzeiten (drinnen),,,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/,No,,10.02.2023,,intakt@ovgu.de,,
Kostüm-Fundus,ressourcen,aktion,leihen,1 alle Tage,wöchentlich,08:00,15:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/kostuemfundus/,,,03.12.2025,,projekte@aqb-md.de,,
Bücherkiste Einsteinstraße,ressourcen,medien,geben; nehmen,2 werktags,wöchentlich,09:00,17:00,Einsteinstraße 9. 39104 Magdeburg,52.1211908/11.6292366,Freiwilligenagentur Magdeburg,https://magdebuch.de/,,,03.12.2025,,info@literaturhaus-magdeburg.de,,
Büchertausch-Regal,ressourcen,medien,geben; nehmen,2 werktags,immer (drinnen),10:00,18:30,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/,,,03.12.2025,,info@ernas-lebensmittelpunkt.de,,
Büchertausch-Regal,ressourcen,medien,geben; nehmen,2 werktags,immer (drinnen),09:00,13:00,"Eingangsbereich, Othrichstraße 30. 39128 Magdeburg",52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V.,https://www.neue-wege-md.de/angebote/,,,03.12.2025,,info@neue-wege-md.de,,
Film-Technik und -Wissen,ressourcen,aktion,leihen,2 werktags,wöchentlich,10:00,18:00,Olvenstedter Straße 10. 39108 Magdeburg,52.1340075/11.6186233,Offener Kanal Magdeburg,https://www.ok-magdeburg.de/mitmachen/#technik,,,03.12.2025,,info@ok-magdeburg.de,,
Fundus für Theater-Ausstattung,ressourcen,aktion,leihen,2 werktags,wöchentlich,10:00,18:30,Universitätsplatz 9. 39104 Magdeburg,52.137210/11.638488,Opernhaus/Theater Magdeburg,https://www.dates-md.de/events/kostuemverkauf/,,,03.12.2025,,kostuemfundus@theater-magdeburg.de,,
Sozialkaufhaus,ressourcen,moebel,geben; nehmen,2 werktags,wöchentlich,10:00,14:00,Lüneburger Straße 25. 39106 Magdeburg,52.1466904/11.6393272,Help 2007 e. V.,https://help2007.de/,,,03.12.2025,,info@help2007.de,,
Sozialkaufhaus Magdeburg,ressourcen,moebel,nehmen,2 werktags,wöchentlich,09:00,14:00,Bruno-Taut-Ring 119. 39130 Magdeburg,52.1531349/11.5835023,BVIK gGmbH,https://bvik-sozialkaufhaus.de/,,,03.12.2025,,sozialkaufhaus-md@bvik.de,,
AWO-Kleiderkammer (Kleiderspende-Annahme und -Ausgabe),ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,09:00,12:00,Thiemstraße 12. 39104 Magdeburg,52.1060948/11.6383272,AWO Kreisverband Magdeburg e. V.,https://www.integrationshilfe-lsa.org/freiwilliges-engangement/,,inaktiv,15.02.2026,,beratung@awo-kv-magdeburg.de,,
Kleiderspende-Annahme und -Soliverkauf,ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,10:00,18:00,Ulrichplatz 9. 39104 Magdeburg,52.1304181/11.6328170,Zweimalschön,https://www.zweimalschoen.de/,No,,03.12.2025,,info@zweimalschoen.de,0391-56391717,
Baby- und Kleinkindshop „Das Lädchen/Vom Kind für’s Kind“ (Spenden & sozialer Verkauf),ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,10:00,13:00,Karl-Schmidt-Straße 4. 39104 Magdeburg,52.1069159/11.6368694,Stiftung netzwerk leben,https://www.netzwerkleben.de/konkret-vor-ort/das-laedchen,,,03.12.2025,,post@netzwerkleben.de,,
Büchertausch-Telefonzelle,ressourcen,medien,geben; nehmen,4 wenn geöffnet,immer (draußen),00:00,23:59,Moritzplatz 1. 39124 Magdeburg,52.1558847/11.6323887,Kulturzentrum Moritzhof,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,No,,03.12.2025,,,,
Fahrrad-Versteigerungen,ressourcen,mobilitaet,nehmen,4 wenn geöffnet,immer (draußen),,,Konrad-Adenauer-Platz. 39104 Magdeburg,52.1306314/ 11.6251511,Deutsche Bahn,,,,27.01.2026,siehe Info-Plakate im Hauptbahnhof,,0341-9678481,
Kletter-Equipment ,ressourcen,aktion,leihen,4 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische+Katholische Studierendengemeinden Magdeburg ESG+KSG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,info@esg-magdeburg.de,,
Faschingskostüm- und Spielgeräteverleih,ressourcen,aktion,leihen,4 wenn geöffnet,immer (drinnen),,,Ferchlander Weg 1. 39128 Magdeburg,52.1619450/11.6183611,Jugendwerkstatt „Buntes Werkstattprojekt“,"https://www.magdeburg.de/B%C3%BCrger-Stadt/System/Adressen/index.php?NavID=37.666.1&object=tx,37.21609.1&La=&&oNavID=37.666.1&La=1",,,03.12.2025,,"jugendwerkstatt@jga.magdeburg.de; 
Catherine.Stockmann@stadt.magdeburg.de; 
Christoph.Jacob@stadt.magdeburg.de; 
Ines.Rehwald@jga.magdeburg.de",,
Fundus für Veranstaltungsausstattung,ressourcen,aktion,leihen,4 wenn geöffnet,immer (drinnen),,,Pablo-Neruda-Straße 11. 39126 Magdeburg,52.168699/11.635900,Stadtteiltreff „OASE“,https://www.magdeburg-nord.de/stadtteiltreff-oase/,,,15.11.2025,,kjh-oase@jga.magdeburg.de,,
Fundus für Veranstaltungsausstattung,ressourcen,aktion,leihen,4 wenn geöffnet,immer (drinnen),,,mehrere Orte,Internet,Studierenden- und Fachschaftsräte der OvGU und h2,"https://www.h2.de/hochschule/leitung-und-gremien/gremien-und-beauftragte/studierendenrat.html; 
https://stura-md.de/",,,03.12.2025,nur für hochschul-eigene Studierende,"stura@ovgu.de; 
stura@h2.de",,
Musik-Ausstattung,ressourcen,aktion,leihen,4 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Katholische Studierendengemeinde Magdeburg KSG,https://ksg-magdeburg.de/,,,03.12.2025,,,,
Büchertausch-Schrank,ressourcen,medien,geben; nehmen,4 wenn geöffnet,immer (drinnen),10:00,19:00,Carl-Miller-Straße. 39112 Magdeburg,52.117172/11.622443,Carl-Miller-Bad,https://www.literaturhaus-magdeburg.de/neuigkeiten/buckau-hat-seit-april-einen-neuen-bucherschrank,,,03.12.2025,,"info@literaturhaus-magdeburg.de; 
info@freiwilligenagentur-magdeburg.de",,
Büchertausch-Schrank „Lesezeichen Salbke“,ressourcen,medien,geben; nehmen,4 wenn geöffnet,immer (drinnen),,,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,verein@bv-swf.de,,
Bücherverschenke-Regal,ressourcen,medien,geben; nehmen,4 wenn geöffnet,immer (drinnen),08:00,21:00,"Foyer, Universitätsplatz 2. 39106 Magdeburg",52.139181/11.646870,Universitätsbibliothek Magdeburg,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,,,
Medien,ressourcen,medien,leihen,4 wenn geöffnet,immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1139405/11.6103131,Fahr-Bibliothek,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",fahrbibliothek@stadtbibliothek.magdeburg.de,,
Feministische Bibliothek,ressourcen,medien,leihen,4 wenn geöffnet,immer (drinnen),00:00,23:59,"Otto-von-Guericke-Universität Magdeburg, Gebäude 26, Pfälzer Straße 1. 39106 Magdeburg",52.139565/11.646329,Feministisches Referat des Studierendenrats der OvGU,https://femref.stura-md.de/feministische-bibliothek/,,,03.12.2025,,femref@stura-md.de,,
Kritische Bibliothek „Zusammengebunden“,ressourcen,medien,leihen,4 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/zusammengebunden/,,inaktiv,25.09.2025,,kontakt@platzmachen.org,,
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,4 wenn geöffnet,immer (drinnen),,,Olvenstedter Graseweg 37. 39128 Magdeburg,52.1598932/11.6051958,Stadtteil-Bibliothek Flora-Park,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.florapark@stadt.magdeburg.de,,
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,4 wenn geöffnet,immer (drinnen),,,Kosmos-Promenade 6. 39118 Magdeburg,52.089969/11.613756,Stadtteil-Bibliothek Reform,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.reform@stadt.magdeburg.de,,
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,4 wenn geöffnet,immer (drinnen),,,Halberstädter Straße 55. 39112 Magdeburg,52.1139405/11.6103131,Stadtteil-Bibliothek Sudenburg,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",bibliothek.sudenburg@stadt.magdeburg.de,,
"Räume mit Büchertausch-Regal, Spielen vor Ort, Lebensmittel-Rettung",ressourcen,medien; raum,leihen,4 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,info@esg-magdeburg.de,,
"Spiele, Medien, Raum",ressourcen,medien; raum,leihen,4 wenn geöffnet,immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1368549/11.6388989,Stadt-Bibliothek Zentrale,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,"nur mit Bibliotheksausweis (siehe https://www.magdeburg.de/index.php?object=tx,698.8844&ModID=10&FID=37.1722.1)",stadtbibliothek@magdeburg.de,,
Lastenrad-Verleih,ressourcen,mobilitaet,leihen,4 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,info@esg-magdeburg.de,,
Lastenräder-Verleih,ressourcen,mobilitaet,leihen,4 wenn geöffnet,immer (drinnen),,,mehrere Orte,Internet,ADFC Magdeburg,https://lara-magdeburg.de/,,,03.12.2025,,lara@adfc-magdeburg.de,,
Bücherspende-Annahme,ressourcen,moebel,geben,4 wenn geöffnet,immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1139405/11.6103131,Stadt-Bibliothek Zentrale,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,nur nach vorheriger Absprache per E-Mail (stadtbibliothek@magdeburg.de) oder Telefon (0391-5404854),stadtbibliothek@magdeburg.de,,
offener Raum für dich,ressourcen,raum,leihen,4 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen e. V.,https://platzmachen.org/projekte/tacheles/,,inaktiv,03.12.2025,,kontakt@softwerke.md,,
Proberaum,ressourcen,raum,leihen,4 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,
