Was,Kategorie,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik?,inaktiv?,Letzte_Ueberpruefung,Kommentar,Kontakt
Büchertausch-Telefonzelle,buecher,0 alle Tage,immer (draußen),00:00,23:59,Breitscheidstraße 2. 39114 Magdeburg,52.1409233/11.6734589,"Campus Herrenkrug, Garten der Hochschulbibliothek",https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,
Bücherkiste Einsteinstraße,buecher,0 alle Tage,immer (draußen),00:00,23:59,Einsteinstraße 9. 39104 Magdeburg,52.1211908/11.6292366,Freiwilligenagentur,https://magdebuch.de/,,,03.12.2025,,
Bücherschrank,buecher,0 alle Tage,immer (draußen),00:00,23:59,Johannes-Schlaf-Straße 10. 39110 Magdeburg,52.1308194/11.5808246,Uncrowd,https://uncrowd-home.org/,,,03.12.2025,,
Bücherschrank Thiemstraße,buecher,0 alle Tage,immer (draußen),00:00,23:59,Thiemstraße 7. 39104 Magdeburg (Richtung Köthener Straße),52.1063155/11.6391302,Literaturhaus Magdeburg,https://magdebuch.de/,,,03.12.2025,,
Büchertausch-Schrank “Lesezeichen Salbke”,buecher,8 wenn geöffnet,immer (drinnen),,,Alt Salbke 50. 39122 Magdeburg,52.0720028/11.6704513,Bürgerbibliothek Salbker Lesezeichen,http://www.bv-swf.de/?page_id=7,,,03.12.2025,,
Büchertausch-Schrank,buecher,8 wenn geöffnet,immer (drinnen),10:00,19:00,Carl-Miller-Straße. 39112 Magdeburg,52.117172/11.622443,Carl-Miller-Bad,https://www.literaturhaus-magdeburg.de/neuigkeiten/buckau-hat-seit-april-einen-neuen-bucherschrank,,,03.12.2025,,
Büchertausch-Telefonzelle,buecher,8 wenn geöffnet,immer (draußen),00:00,23:59,Moritzplatz 1. 39124 Magdeburg,52.1558847/11.6323887,Kulturzentrum Moritzhof,https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,No,,03.12.2025,,
Feministische Bibliothek,buecher,8 wenn geöffnet,immer (drinnen),00:00,23:59,"Pfälzer Straße 1 (OVGU, Gebäude 26). 39106 Magdeburg",52.139565/11.646329,Feministisches Referat des StuRa OvGU,https://femref.stura-md.de/feministische-bibliothek/,,,03.12.2025,,
Büchertausch-Regal,buecher,8 wenn geöffnet,immer (drinnen),08:00,21:00,Universitätsplatz 2. 39106 Magdeburg,52.139181/11.646870,"Universitätsbibliothek, Foyer",https://de.wikipedia.org/wiki/Liste_%C3%B6ffentlicher_B%C3%BCcherschr%C3%A4nke_in_Sachsen-Anhalt,,,03.12.2025,,
Kritische Bibliothek “Zusammengebunden”,buecher,8 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/zusammengebunden/,,inaktiv,25.09.2025,,
Büchertausch-Regal,buecher,9 werktags,immer (drinnen),10:00,18:30,Annastraße 40. 39108 Magdeburg,52.1285000/11.6096923,ERNAs LebensMittelPunkt.,https://ernas-lebensmittelpunkt.de/,,,03.12.2025,,
Büchertausch-Regal,buecher,9 werktags,immer (drinnen),09:00,13:00,Othrichstraße 30. 39128 Magdeburg,52.1531955/11.6157107,Nachbarschaftszentrum Neue Wege e. V. (Eingangsbereich),https://www.neue-wege-md.de/angebote/,,,03.12.2025,,
Austausch-Raum zum Suchen & Bieten,digital,0 alle Tage,immer (online),00:00,23:59,https://t.me/+kzsVt2VqDyw3MWM6,Internet,sharing is caring Magdeburg,https://t.me/sharinginmagdeburg,,,03.12.2025,,
Lebensmittel-Rettung (Spende) an die Tafel,essen,0 alle Tage,nach Absprache,00:00,23:59,"Karl-Schmidt-Straße 9–11, 39104 Magdeburg",52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/die-tafel-magdeburg/,,,03.12.2025,"“Lebensmittelspenden unterliegen bestimmten Bedingungen, bitte rufen Sie uns vor der Abgabe an!” (039172726100)",info@aqb-md.de
Containering-Infos,essen,0 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://dumpstermap.org,,,03.12.2025,,
Ernte-Orte,essen,0 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,siehe Website,https://mundraub.org,,,03.12.2025,,
Lebensmittel-Rettung,essen,0 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,foodsharing,https://foodsharing.de/region/magdeburg,,,03.12.2025,,
Lebensmittelverteilung,essen,1 Montag,wöchentlich,15:00,open end,Johannes-R.-Becher-Straße 8. 39218 Schönebeck,52.019796/11.725869,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
Lebensmittelverteilung,essen,1 Montag,wöchentlich,12:30,open end,Max-Josef-Metzger-Straße 1. 39104 Magdeburg,52.1257576/11.6308883,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
KüfA,essen,2 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,
Tafel-Station: mobile Lebensmittel-Ausgabe,essen,2 Dienstag,wöchentlich,14:00,14:30,"Kulturzentrum Feuerwache Süd, Halberstädter Straße 140. 39112 Magdeburg",52.109848/11.598548,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,
Lebensmittelverteilung,essen,2 Dienstag,wöchentlich,12:30,open end,"Kranichhaus, Schrotebogen 12. 39126 Magdeburg",52.171178/11.635345,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
Lebensmittelverteilung,essen,3 Mittwoch,wöchentlich,16:30,open end,"""Paula"" (Laden der AllesRetter-Magdeburg e.V.), Berliner Chaussee 43. 39114 Magdeburg",52.1295907/11.6699899,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
Tafel-Station: mobile Lebensmittel-Ausgabe,essen,3 Mittwoch,wöchentlich,14:00,14:30,"Adalbert-Kirche, Neptunweg 13. 39118 Magdeburg",52.086849/11.608590,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,
Lebensmittelverteilung,essen,3 Mittwoch,wöchentlich,12:30,open end,"Kirche.MittenDrin, Arndtstraße 56. 39108 Magdeburg",52.129928/11.611790,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
KüfA: Kiezkantine,essen,3 Mittwoch,jeden 2. & 4. im Monat,17:00,19:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,"Stadtteilladen ""Mitmischen"" ",https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,
Tafel-Station: mobile Lebensmittel-Ausgabe,essen,4 Donnerstag,wöchentlich,14:00,14:30,"Jugendclub „Oase“, Pablo-Neruda-Straße 11. 39126 Magdeburg",52.168699/11.635900,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,
Lebensmittelverteilung,essen,4 Donnerstag,wöchentlich,12:30,open end,"Pauluskirche, Goethestraße 25. 39108 Magdeburg",52.132769/11.608059,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
Lebensmittelverteilung,essen,5 Freitag,wöchentlich,12:30,open end,"ASZ Olvenstedt, Bruno-Beye-Ring 3. 39130 Magdeburg",52.147222/11.580102,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
KüfA: KochFreiTag,essen,5 Freitag,jeden 1. & 3. im Monat,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,Thiembuktu,https://thiembuktu.de/koch-frei-tag/,Yes,,25.09.2025,Mithilfe gesucht: https://pad.riseup.net/p/KochFreiTagThiembuktu-keep,
Buckauer Küfa,essen,5 Freitag,wöchentlich,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,KollekTHIEM & KlinkA,https://kollekthiem.de/aktuelles/,,,03.12.2025,,
Lebensmittelverteilung,essen,6 Samstag,wöchentlich,12:30,open end,"Kulturzentrum „Guck Mal!“, Babelsberger Straße 9. 39114 Magdeburg",52.115745/11.663098,Allesretter MD,https://www.allesretter-magdeburg.de/,No,,25.09.2025,,
KüfA,essen,6 Samstag,wöchentlich,16:00,20:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/kufa/,,inaktiv,03.12.2025,,
Foodsharing-Kühlschrank,essen,8 wenn geöffnet,immer (drinnen),00:00,23:59,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/,,inaktiv,03.12.2025,,
Rot-Kreuz-Shop (Spenden-Annahme),essen,9 werktags,wöchentlich,09:00,17:00,Breiter Weg 19 a. 39104 Magdeburg,52.129207/11.635916,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderlaeden.html,,,03.12.2025,,
DRK-Suppenküche,essen,9 werktags,wöchentlich,08:00,14:00,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/waermestuben.html,,,03.12.2025,,
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,essen,9 werktags,wöchentlich,10:00,11:00,"Karl-Schmidt-Straße 9–11, 39104 Magdeburg",52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,
Tafel-Station: Lebensmittel-Ausgabe & Mittagsversorgung,essen,9 werktags,wöchentlich,10:00,11:00,St.-Josef-Straße 82. 39130 Magdeburg,52.1527153/11.5822904,AQB gGmbH,https://aqb-md.de/standorte-der-tafel-magdeburg/,,,03.12.2025,,
D.I.Y.-Selbsthilfe- und -Fahrradwerkstatt,reparatur,2 Dienstag,wöchentlich,14:00,18:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/veranstaltungen/,No,,25.09.2025,,
Fahrrad-Selbsthilfe-Werkstatt soliRADisch,reparatur,2 Dienstag,wöchentlich,11:00,17:00,"Kavalier 4, Maybachstraße. 39104 Magdeburg",52.1233098/11.6217009,Landesjugendwerk der AWO Sachsen-Anhalt e. V.  ,https://soliradisch.wordpress.com/,,,03.12.2025,,
Repair-Café,reparatur,3 Mittwoch,alle zwei Wochen,15:00,16:45,"„Pik-ASZ“, Leipziger Straße 43, Südeingang. 39120 Magdeburg",52.1040138/11.6199102,1. Repair-Café Magdeburg,https://www.repaircafe-md.de/,No,,25.09.2025,,repaircafe-md@gmx.net
Fahrrad-Selbsthilfe-Werkstatt PaRADies,reparatur,4 Donnerstag,wöchentlich,15:00,17:00,-- derzeit im Umzug --,Umzug,platz*machen,https://platzmachen.org/projekte/fahrradwerkstatt-paradies/,,inaktiv,03.12.2025,,
Verschenkeregal,ressourcen,0 alle Tage,immer (draußen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/projektraume/,No,,23.11.2022,,
Verschenkeregal/-ecke,ressourcen,0 alle Tage,Ladenzeiten (drinnen),,,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/,No,,10.02.2023,,
Kostüm-Fundus,ressourcen,0 alle Tage,wöchentlich,08:00,15:00,"Karl-Schmidt-Straße 9–11, 39104 Magdeburg",52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/kostuemfundus/,,,03.12.2025,,projekte@aqb-md.de
Verschenkeregal,ressourcen,0 alle Tage,immer (draußen),00:00,23:59,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM,https://kollekthiem.de/aktuelles/,No,,21.11.2021,,
Verschenkeregal,ressourcen,0 alle Tage,immer (drinnen),00:00,23:59,Walther-Rathenau-Straße 19. 39106 Magdeburg,52.1387286/11.6482829,IKUS im InterKultiTreff,https://www.studentenwerk-magdeburg.de/kultur/interkultitreff/,,,03.12.2025,,
Leih-Fahrzeuge (Auto bis Transporter),ressourcen,0 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,teilAuto,https://teilauto.net/,,,03.12.2025,,
Bibliothek,ressourcen,2 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/bibliothek/,,,03.12.2025,,
Tante-Umme-Laden,ressourcen,2 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/umsonstladen-2/,,,03.12.2025,,
Umsonstladen Salbke,ressourcen,3 Mittwoch,wöchentlich,17:00,19:00,Faulmannstraße 7. 39122 Magdeburg,52.0767425/11.6654435,Umsonstladen Salbke,https://umsonstladen-salbke-ev.de/,,,03.12.2025,,
Vereinsgelände Soziale Mitte (Spenden-Annahme und -Ausgabe),ressourcen,5 Freitag,wöchentlich,10:00,17:00,In der Mittelwiese 1a. 39122 Magdeburg,52.0498594/11.6763538,Integrationshilfe Sachsen-Anhalt e.V.,https://www.integrationshilfe-lsa.org/wordpress/wp-content/uploads/2015/10/Sozialdienste-im-%C3%9Cberblick-20151011.pdf,,,03.12.2025,,
Proberaum,ressourcen,8 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,
"Siebdruck-Werkstatt, Bastel-Werkstatt ",ressourcen,8 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,
Seminarraum,ressourcen,8 wenn geöffnet,immer (drinnen),00:00,23:59,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,LiZ,https://libertaeres-zentrum-md.org/index.php/projektraume/,,,03.12.2025,,
"Spiele, Medien, Raum",ressourcen,8 wenn geöffnet,immer (drinnen),,,Breiter Weg 109. 39104 Magdeburg,52.1368549/11.6388989,Stadt-Bibliothek & Stadtteil-Bibliotheken,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,,
"Spiele, Medien, Raum",ressourcen,8 wenn geöffnet,immer (drinnen),,,Olvenstedter Graseweg 37. 39128 Magdeburg,52.1598932/11.6051958,Stadt-Bibliothek & Stadtteil-Bibliotheken,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,,
"Spiele, Medien, Raum",ressourcen,8 wenn geöffnet,immer (drinnen),,,Kosmos-Promenade 6. 39118 Magdeburg,52.089969/11.613756,Stadt-Bibliothek & Stadtteil-Bibliotheken,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,,
"Spiele, Medien, Raum",ressourcen,8 wenn geöffnet,immer (drinnen),,,Halberstädter Straße 55. 39112 Magdeburg,52.1139405/11.6103131,Stadt-Bibliothek & Stadtteil-Bibliotheken,https://stadtbibliothek.magdeburg.de/,,,03.12.2025,,
Faschingskostüm- und Spielgeräteverleih,ressourcen,8 wenn geöffnet,immer (drinnen),,,Ferchlander Weg 1. 39128 Magdeburg,52.1619450/11.6183611,Jugendwerkstatt „Buntes Werkstattprojekt“,"https://www.magdeburg.de/B%C3%BCrger-Stadt/System/Adressen/index.php?NavID=37.666.1&object=tx,37.21609.1&La=&&oNavID=37.666.1&La=1",,,03.12.2025,,
DRK-Kleiderkammer,ressourcen,8 wenn geöffnet,wöchentlich,,,Ferdinand-von-Schill-Straße 33. 39116 Magdeburg,52.106184/11.583906,Deutsches Rotes Kreuz Regionalverband Magdeburg – Jerichower Land e. V.,https://www.drk-mdjl.de/angebote/existenzsichernde-hilfe/kleiderkammern.html,,,03.12.2025,,
Möbel- & Hausratservice,ressourcen,8 wenn geöffnet,wöchentlich,09:00,12:00,"Karl-Schmidt-Straße 9–11, 39104 Magdeburg",52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/moebel-und-hausratservice/,,,03.12.2025,,mhs@aqb-md.de
Secondhand-Shop,ressourcen,8 wenn geöffnet,wöchentlich,09:00,12:00,"Karl-Schmidt-Straße 9–11, 39104 Magdeburg",52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/secondhandshop/,,,03.12.2025,,mhs@aqb-md.de
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,8 wenn geöffnet,immer (drinnen),,,Leibnizstraße 32. 39104 Magdeburg,52.1195815/11.6291518,Netz39 e. V.,https://www.netz39.de/,,,03.12.2025,,
Kletter-Equipment ,ressourcen,8 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische+Katholische Studierendengemeinden Magdeburg ESG+KSG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,
Lastenrad-Verleih,ressourcen,8 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,
Musik-Ausstattung,ressourcen,8 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Katholische Studierendengemeinde Magdeburg KSG,https://ksg-magdeburg.de/,,,03.12.2025,,
"Räume mit Büchertausch-Regal, Spielen vor Ort, Lebensmittel-Rettung",ressourcen,8 wenn geöffnet,immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,
Fundus für Veranstaltungsausstattung,ressourcen,8 wenn geöffnet,immer (drinnen),,,Pablo-Neruda-Straße 11. 39126 Magdeburg,52.168699/11.635900,Stadtteiltreff “OASE”,https://www.magdeburg-nord.de/stadtteiltreff-oase/,,,15.11.2025,,
"Werkzeug & Geräte aller Art, Wissen dazu",ressourcen,8 wenn geöffnet,immer (drinnen),,,Porsestraße 19 (Gebäude 13). 39104 Magdeburg,52.1080669/11.6337692,Macherburg,https://macherburg.de/,,,03.12.2025,,
Fundus für Veranstaltungsausstattung,ressourcen,8 wenn geöffnet,immer (drinnen),,,mehrere Orte,Internet,Studierenden- und Fachschaftsräte der OvGU und h2,,,,03.12.2025,nur für Studierende dieser Hochschulen,
Leih-Fahr- und -Lasten-Räder,ressourcen,8 wenn geöffnet,immer (drinnen),,,mehrere Orte,Internet,LaRa,https://lara-magdeburg.de/,,,03.12.2025,,
Sozialkaufhaus Magdeburg,ressourcen,9 werktags,wöchentlich,09:00,14:00,Bruno-Taut-Ring 119. 39130 Magdeburg,52.1531349/11.5835023,BVIK gGmbH,https://bvik-sozialkaufhaus.de/,,,03.12.2025,,
Baby- und Kleinkindshop “Das Lädchen/Vom Kind für’s Kind” (Spenden & sozialer Verkauf),ressourcen,9 werktags,wöchentlich,10:00,13:00,Karl-Schmidt-Straße 4. 39104 Magdeburg,52.1069159/11.6368694,Stiftung netzwerk leben,https://www.netzwerkleben.de/konkret-vor-ort/das-laedchen,,,03.12.2025,,post@netzwerkleben.de
Sozialkaufhaus,ressourcen,9 werktags,wöchentlich,10:00,14:00,Lüneburger Straße 25. 39106 Magdeburg,52.1466904/11.6393272,Help 2007 e. V.,https://help2007.de/,,,03.12.2025,,
Film-Technik und -Wissen,ressourcen,9 werktags,wöchentlich,10:00,18:00,Olvenstedter Straße 10. 39108 Magdeburg,52.134058/11.618474,Offener Kanal Magdeburg,https://www.ok-magdeburg.de/mitmachen/#technik,,,03.12.2025,,
AWO-Kleiderkammer (Kleiderspende-Annahme und -Ausgabe),ressourcen,9 werktags,wöchentlich,09:00,12:00,Thiemstraße 12. 39104 Magdeburg,52.1060948/11.6383272,AWO Kreisverband Magdeburg e. V.,https://www.integrationshilfe-lsa.org/freiwilliges-engangement/,,,03.12.2025,,
Kleiderspende-Annahme und -Soliverkauf,ressourcen,9 werktags,wöchentlich,10:00,18:00,Ulrichplatz 9. 39104 Magdeburg,52.1304181/11.6328170,Zweimalschön,https://www.zweimalschoen.de/,No,,03.12.2025,,
Fundus für Theater-Ausstattung,ressourcen,9 werktags,wöchentlich,10:00,18:30,Universitätsplatz 9. 39104 Magdeburg,52.137210/11.638488,Opernhaus/Theater Magdeburg,https://www.dates-md.de/events/kostuemverkauf/,,,03.12.2025,,
