Was,Kategorie,Unterkategorie,Nutzung,Wochentag,Rhythmus,Uhrzeit_Start,Uhrzeit_Ende,Wo,Koordinaten,Wer,Link,Werbegrafik,inaktiv,Letzte_Ueberpruefung,Kommentar,Kontakt,Telefonnummer_intern,Kurzbeschreibung,ist_Kopie
Erste Handy-Hilfe,begegnung,,vor Ort,2 werktags,Ladenzeiten (drinnen),,,Breiter Weg 32-34. 39104 Magdeburg,52.1352507/11.6388062,in:takt,https://intakt-magdeburg.de/,intakt.jpg,,24.02.2026,"Ladenzeiten: Montag 13:00–15:00 Uhr, Dienstag 15:00–19:00 Uhr, Donnerstag 15:00–17:00 Uhr;
mehr Infos auch unter https://www.instagram.com/intakt_magdeburg/",intakt@ovgu.de,,"Wenn ihr Probleme mit eurem Handy habt, versuchen wir gerne euch mit unserer Ersten Handy-Hilfe zu unterstützen!",nein
Fahrrad-Selbsthilfe-Werkstatt PaRADies,ressourcen,werkstatt,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/fahrradwerkstatt-paradies/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,,nein
Fahrrad-Selbsthilfe-Werkstatt soliRADisch,ressourcen,werkstatt,vor Ort,"52 Dienstag; 
54 Donnerstag",wöchentlich,11:00,17:00,"Kavalier 4, Maybachstraße. 39104 Magdeburg",52.1233098/11.6217009,Landesjugendwerk der AWO Sachsen-Anhalt e. V.  ,https://soliradisch.wordpress.com/,soliradisch.jpg,,03.12.2025,an Feiertagen geschlossen,soliradisch@riseup.net,,Wir sind eine Fahrrad-Selbsthilfewerkstatt mit sozial-ökologischem Schwerpunkt in Magdeburg. Wir bieten Hilfe zur Selbsthilfe an und unterstützen dich bei deiner Fahrradreparatur. Wir sind angewiesen auf Spenden.,nein
Fahrrad-Versteigerungen,ressourcen,mobilitaet,nehmen,0 wenn geöffnet (variiert),immer (draußen),,,Konrad-Adenauer-Platz. 39104 Magdeburg,52.1306314/ 11.6251511,Deutsche Bahn,,,,27.01.2026,siehe Info-Plakate im Hauptbahnhof,,0341-9678481,,nein
Faschingskostüm- und Spielgeräteverleih,ressourcen,aktion,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Ferchlander Weg 1. 39128 Magdeburg,52.1619450/11.6183611,Jugendwerkstatt „Buntes Werkstattprojekt“,"https://www.magdeburg.de/B%C3%BCrger-Stadt/System/Adressen/index.php?NavID=37.666.1&object=tx,37.21609.1&La=&&oNavID=37.666.1&La=1",,,03.12.2025,,"jugendwerkstatt@jga.magdeburg.de; 
Catherine.Stockmann@stadt.magdeburg.de; 
Christoph.Jacob@stadt.magdeburg.de; 
Ines.Rehwald@jga.magdeburg.de",,,nein
Feministische Bibliothek,ressourcen,medien,leihen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,"Otto-von-Guericke-Universität Magdeburg, Gebäude 26, Pfälzer Straße 1. 39106 Magdeburg",52.139565/11.646329,Feministisches Referat des Studierendenrats der OvGU,https://femref.stura-md.de/feministische-bibliothek/,,,03.12.2025,,femref@stura-md.de,,,nein
Film-Technik und -Wissen,ressourcen,aktion,leihen,"51 Montag; 
52 Dienstag; 
53 Mittwoch; 
54 Donnerstag",wöchentlich,10:00,18:00,Olvenstedter Straße 10. 39108 Magdeburg,52.1340075/11.6186233,Offener Kanal Magdeburg,https://www.ok-magdeburg.de/mitmachen/#technik,,,03.12.2025,,info@ok-magdeburg.de,,,nein
Film-Technik und -Wissen,ressourcen,aktion,leihen,55 Freitag,wöchentlich,10:00,15:00,Olvenstedter Straße 10. 39108 Magdeburg,52.1340075/11.6186233,Offener Kanal Magdeburg,https://www.ok-magdeburg.de/mitmachen/#technik,,,03.12.2025,,info@ok-magdeburg.de,,,ja
Filmvorführung „KiezLichter“,begegnung,aktion,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,intakt@ovgu.de,,,nein
Foodsharing-Kühlschrank,lebensmittel,retten,geben; nehmen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,,nein
freie und quell-offene Software (FOSS) ausprobieren,digitales,,nehmen,1 alle Tage,immer (online),00:00,23:59,,Internet,Softwerke Magdeburg e. V.,https://softwerke.md,,,20.1.2026,mit Account,kontakt@softwerke.md,,"Guck dir z. B. machteburch.social an, unsere Mastodon-Instanz für unsere Stadt und eine tolle Alternative zu Twitter/X.",nein
Fundus für Theater-Ausstattung,ressourcen,aktion,leihen,2 werktags,wöchentlich,10:00,18:30,Universitätsplatz 9. 39104 Magdeburg,52.137210/11.638488,Opernhaus/Theater Magdeburg,https://www.dates-md.de/events/kostuemverkauf/,,,03.12.2025,,kostuemfundus@theater-magdeburg.de,,,nein
Fundus für Theater-Ausstattung,ressourcen,aktion,leihen,56 Samstag,wöchentlich,10:00,14:00,Universitätsplatz 9. 39104 Magdeburg,52.137210/11.638488,Opernhaus/Theater Magdeburg,https://www.dates-md.de/events/kostuemverkauf/,,,03.12.2025,,kostuemfundus@theater-magdeburg.de,,,ja
Fundus für Veranstaltungsausstattung,ressourcen,aktion,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Pablo-Neruda-Straße 11. 39126 Magdeburg,52.168699/11.635900,Stadtteiltreff „OASE“,https://www.magdeburg-nord.de/stadtteiltreff-oase/,,,15.11.2025,,kjh-oase@jga.magdeburg.de,,,nein
Fundus für Veranstaltungsausstattung,ressourcen,aktion,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,mehrere Orte,Internet,Studierenden- und Fachschaftsräte der OvGU und h2,"https://www.h2.de/hochschule/leitung-und-gremien/gremien-und-beauftragte/studierendenrat.html; 
https://stura-md.de/",,,03.12.2025,nur für hochschul-eigene Studierende,"stura@ovgu.de; 
stura@h2.de",,,nein
Greenpeace-Plenum ,begegnung,aktion,vor Ort,52 Dienstag,wöchentlich,19:00,20:30,"einewelt haus, Schellingstraße 3–4. 39104 Magdeburg ",52.1157680/11.6297706,Greenpeace Magdeburg ,https://greenwire.greenpeace.de/greenpeace-magdeburg,greenpeace.jpg,,24.02.2026,"Jeden ersten Dienstag findet ein Neuentreff statt, wo wir in einem Restaurant oder ähnliches entspannt miteinander quatschen und du uns und unsere Aktionen kennenlernen kannst. Der Ort wird auf https://www.instagram.com/greenpeace.magdeburg/ veröffentlicht (oder schreib uns eine E-Mail).",info@magdeburg.greenpeace.de,,"Wir sind eine Gruppe von Ehrenamtlichen jeden Alters, die sich in und um Magdeburg für Frieden, Umwelt- und Klimaschutz, Landwirtschaft, Tiere, Meere, sowie Nachhaltigkeit einsetzt. Unsere Aktionsformate sind Workshops, Info-Stände, Filmabende, Müllsammelaktionen, Kleidertauschpartys, Demos, nachhaltige Spaziergänge uvm. Wir freuen uns immer über neue Gesichter! Komm zu unserem Neuentreffen: jeden ersten Dienstag im Monat um 19:00 Uhr (Ort variabel, kontaktiere uns gern per Mail oder Instagram).",nein
handverlesene Events aus Magdeburg,digitales,aktion,nehmen,1 alle Tage,immer (online),00:00,23:59,mehrere Orte,Internet,Magdeboogie,https://magdeboogie.de/,,,20.1.2026,,redaktion@magdeboogie.de,,,nein
Kiez-Café: Platz & Kuchen,begegnung,Futtern,vor Ort,54 Donnerstag,wöchentlich,15:00,17:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/kiez-cafe-platz-kuchen/,,inaktiv,03.12.2025,,vorstand@bund-md.net,,,nein
Kleiderspende-Annahme und -Soliverkauf,ressourcen,textilien,geben; nehmen,2 werktags,wöchentlich,10:00,18:00,Ulrichplatz 9. 39104 Magdeburg,52.1304181/11.6328170,Zweimalschön,https://www.zweimalschoen.de/,No,,03.12.2025,,info@zweimalschoen.de,0391-56391717,,nein
Kleiderspende-Annahme und -Soliverkauf,ressourcen,textilien,geben; nehmen,56 Samstag,wöchentlich,10:00,16:00,Ulrichplatz 9. 39104 Magdeburg,52.1304181/11.6328170,Zweimalschön,https://www.zweimalschoen.de/,No,,03.12.2025,,info@zweimalschoen.de,0391-56391717,,ja
Kletter-Ausflüge und Wanderungen,begegnung,aktion,vor Ort,0 wenn geöffnet (variiert),immer (draußen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,kontakt@platzmachen.org,,,nein
Kletter-Equipment ,ressourcen,aktion,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische+Katholische Studierendengemeinden Magdeburg ESG+KSG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,,info@esg-magdeburg.de,,,nein
Kostüm-Fundus,ressourcen,aktion,leihen,1 alle Tage,wöchentlich,08:00,15:00,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/kostuemfundus/,,,03.12.2025,,projekte@aqb-md.de,,,nein
Kritische Bibliothek „Zusammengebunden“,ressourcen,medien,leihen,0 wenn geöffnet (variiert),immer (drinnen),00:00,23:59,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/zusammengebunden/,,inaktiv,25.09.2025,,kontakt@platzmachen.org,,,nein
KüfA (Küche für Alle),lebensmittel,Essenausgabe,nehmen,52 Dienstag,wöchentlich,17:00,19:00,Alt Salbke 144. 39122 Magdeburg,52.086913/11.660783,Libertäres Zentrum Magdeburg,https://libertaeres-zentrum-md.org/index.php/projektraume/,Yes,,25.09.2025,,liz-md@riseup.net,,,nein
KüfA (Küche für Alle),lebensmittel,Essenausgabe,nehmen,56 Samstag,wöchentlich,16:00,20:00,Am Sudenburger Tor 5. 39104 Magdeburg,52.1195156/11.6239075,platz*machen e. V.,https://platzmachen.org/projekte/kufa/,,inaktiv,03.12.2025,,kontakt@platzmachen.org,,,nein
KüfA: Kiezkantine (Küche für Alle),lebensmittel,Essenausgabe,nehmen,53 Mittwoch,jeden 2. & 4. im Monat,17:00,19:00,Maxim-Gorki-Straße 40. 39108 Magdeburg,52.1308973/11.6131598,Stadtteilladen „Mitmischen“ ,https://mitmischen-md.de/,Yes,inaktiv,25.09.2025,,kontakt@mitmischen-md.de,,,nein
KüfA: KochFreiTag (Küche für Alle),lebensmittel,Essenausgabe,nehmen,55 Freitag,jeden 1. & 3. im Monat,18:00,20:00,Thiemstraße 13. 39104 Magdeburg,52.1060948/11.6383272,kollekTHIEM,https://thiembuktu.de/koch-frei-tag/,Yes,inaktiv,25.09.2025,,info@thiembuktu.de,,,nein
Lastenrad-Verleih,ressourcen,mobilitaet,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,Neustädter Straße 6. 39104 Magdeburg,52.134031/11.645950,Evangelische Studierendengemeinde Magdeburg ESG,https://esgm.ekmd-online.de/kontakt/raumplan/,,,03.12.2025,nach vorheriger Absprache und je nach Verfügbarkeit ausleihbar,Pfarrerin@esg-magdeburg.de,,,nein
Lastenräder-Verleih,ressourcen,mobilitaet,leihen,0 wenn geöffnet (variiert),immer (drinnen),,,mehrere Orte,Internet,ADFC Magdeburg,https://lara-magdeburg.de/,,,03.12.2025,,lara@adfc-magdeburg.de,,,nein
Lebensmittel-Rettung,lebensmittel,retten,nehmen,1 alle Tage,immer (draußen),00:00,23:59,mehrere Orte,Internet,foodsharing Magdeburg,https://foodsharing.de/region/magdeburg,,,03.12.2025,"Verteilerstandorte und -zeiten siehe www.facebook.cm/lebensmittelrettenMD, www.lebensmittel-retten-magdeburg.de, www.foodsharing.de/karte oder www.instagram.com/foodsharingmagdeburg ",magdeburg@foodsharing.network,,,nein
Lebensmittel-Rettung (Spende) an die Tafel,lebensmittel,,geben,1 alle Tage,nach Absprache,00:00,23:59,Karl-Schmidt-Straße 9–11. 39104 Magdeburg,52.1057554/11.6374457,AQB gGmbH,https://aqb-md.de/die-tafel-magdeburg/,,,03.12.2025,"Lebensmittelspenden unterliegen bestimmten Bedingungen, bitte vor der Abgabe anrufen: 039172726100",info@aqb-md.de,,,nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,0 wenn geöffnet (variiert),wöchentlich,,,"wechselnde Orte, siehe Internet-Seite",,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,,24.02.2026,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,51 Montag,wöchentlich,15:00,open end,Johannes-R.-Becher-Straße 8. 39218 Schönebeck,52.019796/11.725869,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,51 Montag,wöchentlich,12:30,open end,Max-Josef-Metzger-Straße 1. 39104 Magdeburg,52.1257576/11.6308883,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,52 Dienstag,wöchentlich,12:30,open end,"Kranichhaus, Schrotebogen 12. 39126 Magdeburg",52.171178/11.635345,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
Lebensmittelverteilung,lebensmittel,Essenausgabe,nehmen,53 Mittwoch,wöchentlich,12:30,open end,"Kirche.MittenDrin, Arndtstraße 56. 39108 Magdeburg",52.129928/11.611790,AllesRetter Magdeburg e. V.,https://www.allesretter-magdeburg.de/,No,inaktiv,25.09.2025,mehr unter https://www.allesretter-magdeburg.de/seite/620175/verteiler%C3%BCbersicht.html,allesretter-magdeburg@outlook.com,,"Zu unseren Verteil-Stellen kann jede*r kommen, der*die Lebensmittel retten möchte. Sie benötigen keinen Nachweis oder Bescheinigung.",nein
